"AFML DATE","PAGE NO","REG NO",PILOT_ID,COPILOT_ID,EOB
`14/12/2019,2719,PK-SNP,30,55,0
`01/01/0100,100,PK-SNN,30,,0
`01/01/0100,100,PK-SNN,30,,0
`01/01/0100,100,PK-SNN,30,,0
`01/01/0100,100,PK-SNN,30,,0
`01/01/0100,100,PK-SNN,30,,0
`01/01/0100,100,PK-SNN,30,,0
`01/01/0100,100,PK-SNN,30,,0
`01/01/0100,100,PK-SNN,30,,0
`01/01/0100,100,PK-SNN,30,,0
`01/01/0100,100,PK-SNN,30,,0
`01/01/0100,100,PK-SNN,30,,0
`10/10/1000,100,PK-SNS,38,,0
`10/10/1000,100,PK-SNS,38,,0
`10/10/1000,100,PK-SNS,38,,0
`10/10/1000,100,PK-SNS,38,,0
`10/10/1000,100,PK-SNS,38,,0
`10/10/1000,100,PK-SNS,38,,0
`10/10/1000,100,PK-SNH,38,,0
`16/12/2019,001267,PK-SNS,51,,68
`16/12/2019,2720,PK-SNP,30,74,0
`16/12/2019,2720,PK-SNP,30,74,0
`16/12/2019,000885,PK-SNM,66,97,0
`07/12/2019,001742,PK-SNK,54,65,0
`16/12/2019,001669,PK-SNN,85,53,0
